File Name: 0:\GARMIN\EVNTLOGS/0000001D.TXT


>>>>> EVL_CURR_LOGS <<<<<

verNum:     8/13/2014 (00)
ownerID:    00000002
OwnerName:  HWM
status:     01
pri_thresh:  4
archived:   00
max_arch:   00
num_recs:   80
rec_size:   40
next_evnt:  4F
timeDay:    2018/ 2/ 9 18:35:12 
cycle_cnt:  7

49: D3 10 00 00 372:57:24.221 HWM main (Loc:2018/ 2/ 6 12:17:09 ) (UTC:2018/ 2/ 6 11:17:09 ) D:1
4A: D3 10 00 00 372:59:56.096 HWM main (Loc:2018/ 2/ 6 12:19:41 ) (UTC:2018/ 2/ 6 11:19:41 ) D:1
4B: D3 10 00 00 378:42:41.374 HWM main (Loc:2018/ 2/ 6 18:02:26 ) (UTC:2018/ 2/ 6 17:02:26 ) D:1
4C: D3 10 00 00 380:54:04.793 HWM main (Loc:2018/ 2/ 6 20:13:49 ) (UTC:2018/ 2/ 6 19:13:49 ) D:1
4D: D3 10 00 00 402:43:03.885 HWM main (Loc:2018/ 2/ 7 18:02:49 ) (UTC:2018/ 2/ 7 17:02:49 ) D:1
4E: D3 10 00 00 452:15:26.922 HWM main (Loc:2018/ 2/ 9 19:35:12 ) (UTC:2018/ 2/ 9 18:35:12 ) D:1

verNum:     8/13/2014 (00)
ownerID:    00000008
OwnerName:  TFS
status:     01
pri_thresh:  2
archived:   00
max_arch:   10
num_recs:   20
rec_size:   20
next_evnt:  1A
timeDay:    2018/ 2/ 1 22:08:24 
cycle_cnt:  7

1A: E0 00 00 00 1139:08:37.918 HWM main  CHKDSK Report: Time:581msec Dirs:38 Files:234 Free:25165 Diff:0
1B: D8 00 00 00 1139:40:33.733 HWM main 02000F00266D616E616765725F776F72 ....&manager_wor
1C: D8 00 00 00 1139:40:33.905 HWM main 02040A01303A5C4741524D494E5C4556 ....0:\GARMIN\EV
1D: E0 00 00 00 1139:40:34.486 HWM main  CHKDSK Report: Time:580msec Dirs:38 Files:235 Free:25164 Diff:0
1E: D1 00 00 00 1183:59:30.311 HWM main 12000400000870004A134F63656C6D00 ......p.J.Ocelm.
1F: FE 01 08 00 1183:59:30.319 HWM main 2017/12/27  3:00:44 V:0

00: FF 00 00 00   0:00:02.725 HWM main 2017/12/27  3:01:33 C:5
01: E0 00 00 00   0:00:03.520 HWM main  CHKDSK Report: Time:585msec Dirs:38 Files:209 Free:25423 Diff:0
02: D0 00 00 00   0:00:03.520 HWM main 000041F2052021F6072041F20520D76B ..A.. !.. A.. .k
03: D8 00 00 00 104:01:58.165 HWM main 02000F00266D616E616765725F776F72 ....&manager_wor
04: D8 00 00 00 107:06:38.867 HWM main 02040A01303A5C4741524D494E5C4556 ....0:\GARMIN\EV
05: E0 00 00 00 107:06:39.496 HWM main  CHKDSK Report: Time:617msec Dirs:40 Files:226 Free:25253 Diff:0
06: D8 00 00 00 417:54:08.046 HWM main 02000F00266D616E616765725F776F72 ....&manager_wor
07: D8 00 00 00 417:54:15.420 HWM main 02040A01303A5C4741524D494E5C4556 ....0:\GARMIN\EV
08: E0 00 00 00 417:54:15.921 HWM main  CHKDSK Report: Time:501msec Dirs:40 Files:233 Free:25186 Diff:0
09: D8 00 00 00 418:13:14.825 HWM main 02000F00266D616E616765725F776F72 ....&manager_wor
